"profil","stanowisko","jednostka","wydzial","h_index_scopus","h_index_wos","sum_IF","sum_SNIP","sum_MEiN"
"Kamila Nowosad","profesor","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",17,16,115.72,56.137,4346
"Małgorzata Oksińska","adiunkt","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",6,5,23.219,9.837,654
"Marta Pasławska","adiunkt","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",8,8,29.252,10.445,1322
"Katarzyna Patejuk","adiunkt","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",6,5,53.735,22.682,2433
"Andżelika Paterak",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Krzysztof Pawłowski",NA,"Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",NA,NA,35,35,35
"Katarzyna Pentoś","profesor uczelni","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",11,11,76.058,32.442,3058
"Krzysztof Pieczarka","profesor uczelni","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",4,4,16.365,6.323,847
"Mirosława Pietryka","adiunkt","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",9,8,46.233,18.3,1480
"Elżbieta Pląskowska","profesor","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",11,9,38.483,19.188,2344
"Aldona Płaczek","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",3,3,6.292,2.983,311
"Magda Podlaska",NA,"Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",4,3,16.39,11.737,1038
"Marta Preisner","adiunkt","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",11,10,67.108,24.479,1305
"Daniel Pruchniewicz","profesor","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",9,8,50.639,25.744,1724
"Wojciech Pusz","profesor","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",14,13,93.734,49.863,3660
"Elżbieta Pytlarz","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",3,3,26.317,8.672,998
"Małgorzata Raduła","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",6,7,50.772,14.312,1490
"Teresa Rafalska",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",NA,NA,1,4,4
"Dominika Reszewicz",NA,"Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",NA,NA,40,40,40
"Dorota Richter","profesor uczelni","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",12,11,63.024,26.518,1833
"Magdalena Rowińska","asystent","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",2,2,6.4,2.672,240
"Sandra Rychel-Bielska","adiunkt","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",7,7,65.638,18.348,1870
"Renata Ryl",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",NA,NA,1,3,3
"Elżbieta Sacała","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",9,10,35.505,18.686,1333
"Magdalena Serafin-Andrzejewska","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",5,5,37.022,12.393,1648
"Małgorzata Serowik",NA,"Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",6,7,17.703,9.198,485
"Mariusz Skrzyński",NA,"Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",2,2,13.2,3.242,340
"Monika Słupska","adiunkt","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",4,4,24.004,9.229,800
"Ireneusz Sosna","profesor uczelni","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",5,4,11.718,9.19,899
"Józef Sowiński","profesor","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",13,12,130.398,51.348,4208
"Marek Stachowiak","adiunkt","Katedra Ekonomii Stosowanej","Wydział Przyrodniczo-Technologiczny",1,1,0.28,68,68
"Sylwia Stegenta-Dąbrowska","adiunkt","Katedra Biogospodarki Stosowanej","Wydział Przyrodniczo-Technologiczny",11,10,99.303,34.117,3231
"Bogdan Stępień","profesor","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",11,11,63.667,21.255,2121
"Kamila Stępień","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",2,2,8.457,2.77,307
"Piotr Stępień","adiunkt","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",10,10,80.761,24.286,1491
"Roman Stopa","profesor","Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",11,10,46.12,22.09,1416
"Jarosław Szadorski",NA,"Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",1,1,2.651,1.505,41
"Katarzyna Szczepańska","adiunkt","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",7,8,49.275,19.965,1662
"Adam Szewczuk","profesor","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",5,5,6.911,5.775,641
"Katarzyna Szopka","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",13,13,71.47,29.251,1992
"Tomasz Szuk","adiunkt","Katedra Ekonomii Stosowanej","Wydział Przyrodniczo-Technologiczny",1,NA,1.8,1.348,692
"Magdalena Szymura","profesor","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",16,17,125.559,46.551,3549
"Sebastian Świerszcz","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",12,13,192.466,59.547,5471
"Ewa Tendziagolska","adiunkt","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",4,4,13.025,6.187,581
"Kamila Twardowska",NA,"Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",4,4,38.27,12.981,1335
"Jacek Twardowski","profesor","Katedra Ochrony Roślin","Wydział Przyrodniczo-Technologiczny",9,8,85.261,37.215,3247
"Rafał Tyszka","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",11,11,38.375,19.449,731
"Cecylia Uklańska-Pusz","adiunkt","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",6,6,6.783,5.015,388
"Jacek Urbaniak","profesor","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",12,10,75.897,36.961,2431
"Roman Wacławowicz","profesor uczelni","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",4,4,23.746,8.658,1084
"Jarosław Waroszewski","profesor uczelni","Instytut Nauk o Glebie, Żywienia Roślin i Ochrony Środowiska","Wydział Przyrodniczo-Technologiczny",21,22,159.627,64.336,4613
"Jerzy Winiarski",NA,"Instytut Inżynierii Rolniczej","Wydział Przyrodniczo-Technologiczny",NA,NA,NA,NA,NA
"Wiesław Wojciechowski","profesor uczelni","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",4,4,17.457,6.617,923
"Karol Wolski","profesor","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",9,8,67.316,28.039,2523
"Anna Wondołowska-Grabowska","profesor uczelni","Instytut Agroekologii i Produkcji Roślinnej","Wydział Przyrodniczo-Technologiczny",6,6,30.073,13.227,1491
"Katarzyna Wróblewska","profesor uczelni","Katedra Ogrodnictwa","Wydział Przyrodniczo-Technologiczny",7,7,29.08,13.353,950
"Dariusz Zalewski","adiunkt","Katedra Genetyki, Hodowli Roślin i Nasiennictwa","Wydział Przyrodniczo-Technologiczny",8,7,27.999,12.387,1113
"Ludwik Żołnierz","profesor","Katedra Botaniki i Ekologii Roślin","Wydział Przyrodniczo-Technologiczny",10,8,35.995,20.134,1347
