profil,tytul,stanowisko,jednostka,wydzial,orcid,scopus_id,polon_id,researcharea,h_index_scopus,h_index_wos,sum_IF,sum_SNIP,sum_MEiN,n_pub,author_id,url,error
Monika Jankowska,,,,,,,,,,,,,155.0,6.0,892,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/892?obiektId=Osoby,
Przemysław Jankowski,,starszy specjalista inżynieryjno-techniczny,,,,,,,,,,,148.0,65.0,97,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/97?obiektId=Osoby,
Magdalena Janowska,,portier,,,,,,,,,,,0.0,0.0,2762,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2762?obiektId=Osoby,
Paweł Janulewicz,,adiunkt posiadający st. nauk. dr,,,0000-0001-5620-1221,56705292200,,,,,,,285.0,33.0,1109,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1109?obiektId=Osoby,
Ewa Januś,,adiunkt posiadający st. nauk. dr hab.,,,0000-0003-2094-3869,,,,,,,,1493.0,252.0,402,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/402?obiektId=Osoby,
Anna Jańczuk,,,,,,,,,,,,,570.0,15.0,3154,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3154?obiektId=Osoby,
Milena Jaremek,,specjalista inżynieryjno-techniczny,,,0000-0002-9504-2216,,,,,,,,314.0,51.0,757,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/757?obiektId=Osoby,
Józef Jargiełło,,,,,,,,,,,,,23.0,20.0,29,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/29?obiektId=Osoby,
Dorota Jarmoszczuk,,specjalista inżynieryjno-techniczny,,,,,,,,,,,0.0,0.0,2763,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2763?obiektId=Osoby,
Weronika Jarmulska,,specjalista inżynieryjno-techniczny,,,0000-0001-5591-8829,57201685088,,,,,,,115.0,4.0,939,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/939?obiektId=Osoby,
Piotr Jarocki,,adiunkt posiadający st. nauk. dr,,,0000-0002-0714-4512,7801590042,,,,,,,937.0,20.0,1133,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1133?obiektId=Osoby,
Zbigniew Jarosz,,Profesor uczelni,,,0000-0002-1561-4457,35622122300,,,,,,,1996.0,300.0,307,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/307?obiektId=Osoby,
Łukasz Jarosz,,Profesor uczelni,,,0000-0002-4914-1758,25121464000,,,,,,,4821.0,148.0,487,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/487?obiektId=Osoby,
Aneta Jarosz-Angowska,,adiunkt posiadający st. nauk. dr,,,0000-0002-4701-0818,57205613264,,,,,,,1512.0,54.0,1067,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1067?obiektId=Osoby,
Monika Jaroszuk-Sierocińska,,adiunkt posiadający st. nauk. dr,,,0000-0001-8325-4601,57193692457,,,,,,,642.0,38.0,1084,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1084?obiektId=Osoby,
Cyprian Jaruga,,,,,,,,,,,,,32.0,4.0,815,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/815?obiektId=Osoby,
Jolanta Jasińska,,starszy specjalista,,,,,,,,,,,0.0,0.0,2764,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2764?obiektId=Osoby,
Krzysztof Jasiński,,,,,,,,,,,,,9.0,14.0,327,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/327?obiektId=Osoby,
Monika Jaskowiak,,Redaktor naczelny Aktualności,,,,,,,,,,,0.0,0.0,1521,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1521?obiektId=Osoby,
Teresa Jaśkiewicz,,,,,,,,,,,,,199.0,55.0,1012,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1012?obiektId=Osoby,
Bożenna Jaśkiewicz,,,,,,,,,,,,,186.0,125.0,1664,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/1664?obiektId=Osoby,
Małgorzata Jatczak,,starszy specjalista,,,,,,,,,,,0.0,0.0,2765,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/2765?obiektId=Osoby,
Jadwiga Jaworska-Adamu,,Profesor,,,0000-0002-8639-7429,6602444601,,,,,,,1631.0,122.0,203,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/203?obiektId=Osoby,
Hubert Jaworski,,asystent,,,,,,,,,,,0.0,0.0,3653,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3653?obiektId=Osoby,
Paulina Jedut,,doktorant,,,,57218682347,,,,,,,521.0,17.0,3155,https://open.up.lublin.pl/Uczelnia/Publiczna/Wyszukiwarka/ProfilDetail/3155?obiektId=Osoby,
